market,feature,computable,source,scope,unit_requirement,limitation
ATOMUSDT,taker_sell_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
ATOMUSDT,taker_imbalance,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
ATOMUSDT,taker_delta,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
ATOMUSDT,abnormal_turnover,True,sum of taker buy and sell volume as turnover proxy,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,rolling median window must be frozen later,not validated and not exact instrument
ATOMUSDT,range_volume_impulse,not_from_taker_flow_alone,requires OHLCV candle range plus audited volume,future_plan_only,OHLCV range alignment required later,not computed in availability audit
AVAXUSDT,taker_buy_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
AVAXUSDT,taker_sell_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
AVAXUSDT,taker_imbalance,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
AVAXUSDT,taker_delta,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
AVAXUSDT,abnormal_turnover,True,sum of taker buy and sell volume as turnover proxy,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,rolling median window must be frozen later,not validated and not exact instrument
AVAXUSDT,range_volume_impulse,not_from_taker_flow_alone,requires OHLCV candle range plus audited volume,future_plan_only,OHLCV range alignment required later,not computed in availability audit
BCHUSDT,taker_buy_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
BCHUSDT,taker_sell_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
BCHUSDT,taker_imbalance,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
BCHUSDT,taker_delta,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
BCHUSDT,abnormal_turnover,True,sum of taker buy and sell volume as turnover proxy,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,rolling median window must be frozen later,not validated and not exact instrument
BCHUSDT,range_volume_impulse,not_from_taker_flow_alone,requires OHLCV candle range plus audited volume,future_plan_only,OHLCV range alignment required later,not computed in availability audit
BNBUSDT,taker_buy_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
BNBUSDT,taker_sell_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
BNBUSDT,taker_imbalance,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
BNBUSDT,taker_delta,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
BNBUSDT,abnormal_turnover,True,sum of taker buy and sell volume as turnover proxy,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,rolling median window must be frozen later,not validated and not exact instrument
BNBUSDT,range_volume_impulse,not_from_taker_flow_alone,requires OHLCV candle range plus audited volume,future_plan_only,OHLCV range alignment required later,not computed in availability audit
BTCUSDT,taker_buy_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
BTCUSDT,taker_sell_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
BTCUSDT,taker_imbalance,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
BTCUSDT,taker_delta,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
BTCUSDT,abnormal_turnover,True,sum of taker buy and sell volume as turnover proxy,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,rolling median window must be frozen later,not validated and not exact instrument
BTCUSDT,range_volume_impulse,not_from_taker_flow_alone,requires OHLCV candle range plus audited volume,future_plan_only,OHLCV range alignment required later,not computed in availability audit
DOGEUSDT,taker_buy_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
DOGEUSDT,taker_sell_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
DOGEUSDT,taker_imbalance,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
DOGEUSDT,taker_delta,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
DOGEUSDT,abnormal_turnover,True,sum of taker buy and sell volume as turnover proxy,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,rolling median window must be frozen later,not validated and not exact instrument
DOGEUSDT,range_volume_impulse,not_from_taker_flow_alone,requires OHLCV candle range plus audited volume,future_plan_only,OHLCV range alignment required later,not computed in availability audit
DOTUSDT,taker_buy_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
DOTUSDT,taker_sell_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
DOTUSDT,taker_imbalance,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
DOTUSDT,taker_delta,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
DOTUSDT,abnormal_turnover,True,sum of taker buy and sell volume as turnover proxy,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,rolling median window must be frozen later,not validated and not exact instrument
DOTUSDT,range_volume_impulse,not_from_taker_flow_alone,requires OHLCV candle range plus audited volume,future_plan_only,OHLCV range alignment required later,not computed in availability audit
ETCUSDT,taker_buy_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
ETCUSDT,taker_sell_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
ETCUSDT,taker_imbalance,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
ETCUSDT,taker_delta,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
ETCUSDT,abnormal_turnover,True,sum of taker buy and sell volume as turnover proxy,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,rolling median window must be frozen later,not validated and not exact instrument
ETCUSDT,range_volume_impulse,not_from_taker_flow_alone,requires OHLCV candle range plus audited volume,future_plan_only,OHLCV range alignment required later,not computed in availability audit
ETHUSDT,taker_buy_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
ETHUSDT,taker_sell_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
ETHUSDT,taker_imbalance,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
ETHUSDT,taker_delta,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
ETHUSDT,abnormal_turnover,True,sum of taker buy and sell volume as turnover proxy,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,rolling median window must be frozen later,not validated and not exact instrument
ETHUSDT,range_volume_impulse,not_from_taker_flow_alone,requires OHLCV candle range plus audited volume,future_plan_only,OHLCV range alignment required later,not computed in availability audit
FILUSDT,taker_buy_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
FILUSDT,taker_sell_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
FILUSDT,taker_imbalance,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
FILUSDT,taker_delta,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
FILUSDT,abnormal_turnover,True,sum of taker buy and sell volume as turnover proxy,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,rolling median window must be frozen later,not validated and not exact instrument
FILUSDT,range_volume_impulse,not_from_taker_flow_alone,requires OHLCV candle range plus audited volume,future_plan_only,OHLCV range alignment required later,not computed in availability audit
LINKUSDT,taker_buy_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
LINKUSDT,taker_sell_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
LINKUSDT,taker_imbalance,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
LINKUSDT,taker_delta,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
LINKUSDT,abnormal_turnover,True,sum of taker buy and sell volume as turnover proxy,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,rolling median window must be frozen later,not validated and not exact instrument
LINKUSDT,range_volume_impulse,not_from_taker_flow_alone,requires OHLCV candle range plus audited volume,future_plan_only,OHLCV range alignment required later,not computed in availability audit
LTCUSDT,taker_buy_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
LTCUSDT,taker_sell_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
LTCUSDT,taker_imbalance,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
LTCUSDT,taker_delta,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
LTCUSDT,abnormal_turnover,True,sum of taker buy and sell volume as turnover proxy,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,rolling median window must be frozen later,not validated and not exact instrument
LTCUSDT,range_volume_impulse,not_from_taker_flow_alone,requires OHLCV candle range plus audited volume,future_plan_only,OHLCV range alignment required later,not computed in availability audit
NEARUSDT,taker_buy_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
NEARUSDT,taker_sell_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
NEARUSDT,taker_imbalance,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
NEARUSDT,taker_delta,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
NEARUSDT,abnormal_turnover,True,sum of taker buy and sell volume as turnover proxy,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,rolling median window must be frozen later,not validated and not exact instrument
NEARUSDT,range_volume_impulse,not_from_taker_flow_alone,requires OHLCV candle range plus audited volume,future_plan_only,OHLCV range alignment required later,not computed in availability audit
SOLUSDT,taker_buy_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
SOLUSDT,taker_sell_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
SOLUSDT,taker_imbalance,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
SOLUSDT,taker_delta,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
SOLUSDT,abnormal_turnover,True,sum of taker buy and sell volume as turnover proxy,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,rolling median window must be frozen later,not validated and not exact instrument
SOLUSDT,range_volume_impulse,not_from_taker_flow_alone,requires OHLCV candle range plus audited volume,future_plan_only,OHLCV range alignment required later,not computed in availability audit
TRXUSDT,taker_buy_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
TRXUSDT,taker_sell_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
TRXUSDT,taker_imbalance,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
TRXUSDT,taker_delta,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
TRXUSDT,abnormal_turnover,True,sum of taker buy and sell volume as turnover proxy,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,rolling median window must be frozen later,not validated and not exact instrument
TRXUSDT,range_volume_impulse,not_from_taker_flow_alone,requires OHLCV candle range plus audited volume,future_plan_only,OHLCV range alignment required later,not computed in availability audit
UNIUSDT,taker_buy_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_exact_instid_not_proven,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
UNIUSDT,taker_sell_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_exact_instid_not_proven,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
UNIUSDT,taker_imbalance,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_exact_instid_not_proven,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
UNIUSDT,taker_delta,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_exact_instid_not_proven,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
UNIUSDT,abnormal_turnover,True,sum of taker buy and sell volume as turnover proxy,ccy_contracts_aggregate_exact_instid_not_proven,rolling median window must be frozen later,not validated and not exact instrument
UNIUSDT,range_volume_impulse,not_from_taker_flow_alone,requires OHLCV candle range plus audited volume,future_plan_only,OHLCV range alignment required later,not computed in availability audit
XRPUSDT,taker_buy_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
XRPUSDT,taker_sell_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
XRPUSDT,taker_imbalance,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
XRPUSDT,taker_delta,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
XRPUSDT,abnormal_turnover,True,sum of taker buy and sell volume as turnover proxy,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,rolling median window must be frozen later,not validated and not exact instrument
XRPUSDT,range_volume_impulse,not_from_taker_flow_alone,requires OHLCV candle range plus audited volume,future_plan_only,OHLCV range alignment required later,not computed in availability audit
