scope,candidate,candidate_net_pnl,candidate_profit_factor,reference,reference_net_pnl,reference_profit_factor,candidate_minus_reference_net_pnl,interpretation
holdout,I_defensive_short_only,-409.835472,0.731404,cooldown_after_exit_validation,-91.46,0.9725,-318.375472,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,I_defensive_short_only,-409.835472,0.731404,anti_chase_validation,-225.26,0.9445,-184.575472,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,I_defensive_short_only,-409.835472,0.731404,regime_filtered_long_only_validation,-266.26,0.9318,-143.575472,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,I_defensive_short_only,-409.835472,0.731404,Candidate_D_later_data_failure,-174.23,0.1313,-235.605472,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,J_long_short_regime_switch,-3293.525453,0.688578,failed_Long1_only_holdout,-69.89,0.9832,-3223.635453,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,J_long_short_regime_switch,-3293.525453,0.688578,D2_dry_run_reference,-51.92,,-3241.605453,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,J_long_short_regime_switch,-3293.525453,0.688578,D6_early_stop_dry_run_reference,-103.78,,-3189.745453,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,J_long_short_regime_switch,-3293.525453,0.688578,cooldown_after_exit_validation,-91.46,0.9725,-3202.065453,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,J_long_short_regime_switch,-3293.525453,0.688578,anti_chase_validation,-225.26,0.9445,-3068.265453,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,J_long_short_regime_switch,-3293.525453,0.688578,regime_filtered_long_only_validation,-266.26,0.9318,-3027.265453,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,J_long_short_regime_switch,-3293.525453,0.688578,Candidate_D_later_data_failure,-174.23,0.1313,-3119.295453,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,K_liquidation_wick_bounce,769.166224,1.084287,failed_Long1_only_holdout,-69.89,0.9832,839.056224,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,K_liquidation_wick_bounce,769.166224,1.084287,D2_dry_run_reference,-51.92,,821.086224,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,K_liquidation_wick_bounce,769.166224,1.084287,D6_early_stop_dry_run_reference,-103.78,,872.946224,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,K_liquidation_wick_bounce,769.166224,1.084287,cooldown_after_exit_validation,-91.46,0.9725,860.626224,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,K_liquidation_wick_bounce,769.166224,1.084287,anti_chase_validation,-225.26,0.9445,994.426224,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,K_liquidation_wick_bounce,769.166224,1.084287,regime_filtered_long_only_validation,-266.26,0.9318,1035.426224,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,K_liquidation_wick_bounce,769.166224,1.084287,Candidate_D_later_data_failure,-174.23,0.1313,943.396224,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,L_breakout_failure_reversal,-634.515462,0.95108,failed_Long1_only_holdout,-69.89,0.9832,-564.625462,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,L_breakout_failure_reversal,-634.515462,0.95108,D2_dry_run_reference,-51.92,,-582.595462,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,L_breakout_failure_reversal,-634.515462,0.95108,D6_early_stop_dry_run_reference,-103.78,,-530.735462,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,L_breakout_failure_reversal,-634.515462,0.95108,cooldown_after_exit_validation,-91.46,0.9725,-543.055462,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,L_breakout_failure_reversal,-634.515462,0.95108,anti_chase_validation,-225.26,0.9445,-409.255462,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,L_breakout_failure_reversal,-634.515462,0.95108,regime_filtered_long_only_validation,-266.26,0.9318,-368.255462,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,L_breakout_failure_reversal,-634.515462,0.95108,Candidate_D_later_data_failure,-174.23,0.1313,-460.285462,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,C_volatility_compression_breakout_v2,-21.761822,0.0,failed_Long1_only_holdout,-69.89,0.9832,48.128178,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,C_volatility_compression_breakout_v2,-21.761822,0.0,D2_dry_run_reference,-51.92,,30.158178,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,C_volatility_compression_breakout_v2,-21.761822,0.0,D6_early_stop_dry_run_reference,-103.78,,82.018178,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,C_volatility_compression_breakout_v2,-21.761822,0.0,cooldown_after_exit_validation,-91.46,0.9725,69.698178,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,C_volatility_compression_breakout_v2,-21.761822,0.0,anti_chase_validation,-225.26,0.9445,203.498178,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,C_volatility_compression_breakout_v2,-21.761822,0.0,regime_filtered_long_only_validation,-266.26,0.9318,244.498178,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,C_volatility_compression_breakout_v2,-21.761822,0.0,Candidate_D_later_data_failure,-174.23,0.1313,152.468178,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,D_volatility_expansion_continuation,-45.478828,0.0,failed_Long1_only_holdout,-69.89,0.9832,24.411172,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,D_volatility_expansion_continuation,-45.478828,0.0,D2_dry_run_reference,-51.92,,6.441172,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,D_volatility_expansion_continuation,-45.478828,0.0,D6_early_stop_dry_run_reference,-103.78,,58.301172,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,D_volatility_expansion_continuation,-45.478828,0.0,cooldown_after_exit_validation,-91.46,0.9725,45.981172,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,D_volatility_expansion_continuation,-45.478828,0.0,anti_chase_validation,-225.26,0.9445,179.781172,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,D_volatility_expansion_continuation,-45.478828,0.0,regime_filtered_long_only_validation,-266.26,0.9318,220.781172,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,D_volatility_expansion_continuation,-45.478828,0.0,Candidate_D_later_data_failure,-174.23,0.1313,128.751172,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,E_true_mean_reversion_v2,0.0,,failed_Long1_only_holdout,-69.89,0.9832,69.89,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,E_true_mean_reversion_v2,0.0,,D2_dry_run_reference,-51.92,,51.92,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,E_true_mean_reversion_v2,0.0,,D6_early_stop_dry_run_reference,-103.78,,103.78,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,E_true_mean_reversion_v2,0.0,,cooldown_after_exit_validation,-91.46,0.9725,91.46,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,E_true_mean_reversion_v2,0.0,,anti_chase_validation,-225.26,0.9445,225.26,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,E_true_mean_reversion_v2,0.0,,regime_filtered_long_only_validation,-266.26,0.9318,266.26,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,E_true_mean_reversion_v2,0.0,,Candidate_D_later_data_failure,-174.23,0.1313,174.23,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,F_relative_strength_rotation,0.0,,failed_Long1_only_holdout,-69.89,0.9832,69.89,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,F_relative_strength_rotation,0.0,,D2_dry_run_reference,-51.92,,51.92,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,F_relative_strength_rotation,0.0,,D6_early_stop_dry_run_reference,-103.78,,103.78,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,F_relative_strength_rotation,0.0,,cooldown_after_exit_validation,-91.46,0.9725,91.46,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,F_relative_strength_rotation,0.0,,anti_chase_validation,-225.26,0.9445,225.26,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,F_relative_strength_rotation,0.0,,regime_filtered_long_only_validation,-266.26,0.9318,266.26,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,F_relative_strength_rotation,0.0,,Candidate_D_later_data_failure,-174.23,0.1313,174.23,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,H_market_family_framework_v2,0.0,,failed_Long1_only_holdout,-69.89,0.9832,69.89,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,H_market_family_framework_v2,0.0,,D2_dry_run_reference,-51.92,,51.92,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,H_market_family_framework_v2,0.0,,D6_early_stop_dry_run_reference,-103.78,,103.78,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,H_market_family_framework_v2,0.0,,cooldown_after_exit_validation,-91.46,0.9725,91.46,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,H_market_family_framework_v2,0.0,,anti_chase_validation,-225.26,0.9445,225.26,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,H_market_family_framework_v2,0.0,,regime_filtered_long_only_validation,-266.26,0.9318,266.26,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,H_market_family_framework_v2,0.0,,Candidate_D_later_data_failure,-174.23,0.1313,174.23,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,I_defensive_short_only,0.0,,failed_Long1_only_holdout,-69.89,0.9832,69.89,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,I_defensive_short_only,0.0,,D2_dry_run_reference,-51.92,,51.92,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,I_defensive_short_only,0.0,,D6_early_stop_dry_run_reference,-103.78,,103.78,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,I_defensive_short_only,0.0,,cooldown_after_exit_validation,-91.46,0.9725,91.46,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,I_defensive_short_only,0.0,,anti_chase_validation,-225.26,0.9445,225.26,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,I_defensive_short_only,0.0,,regime_filtered_long_only_validation,-266.26,0.9318,266.26,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,I_defensive_short_only,0.0,,Candidate_D_later_data_failure,-174.23,0.1313,174.23,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,J_long_short_regime_switch,-13.269553,0.763784,failed_Long1_only_holdout,-69.89,0.9832,56.620447,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,J_long_short_regime_switch,-13.269553,0.763784,D2_dry_run_reference,-51.92,,38.650447,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,J_long_short_regime_switch,-13.269553,0.763784,D6_early_stop_dry_run_reference,-103.78,,90.510447,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,J_long_short_regime_switch,-13.269553,0.763784,cooldown_after_exit_validation,-91.46,0.9725,78.190447,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,J_long_short_regime_switch,-13.269553,0.763784,anti_chase_validation,-225.26,0.9445,211.990447,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,J_long_short_regime_switch,-13.269553,0.763784,regime_filtered_long_only_validation,-266.26,0.9318,252.990447,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,J_long_short_regime_switch,-13.269553,0.763784,Candidate_D_later_data_failure,-174.23,0.1313,160.960447,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,K_liquidation_wick_bounce,-35.427328,0.0,failed_Long1_only_holdout,-69.89,0.9832,34.462672,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,K_liquidation_wick_bounce,-35.427328,0.0,D2_dry_run_reference,-51.92,,16.492672,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,K_liquidation_wick_bounce,-35.427328,0.0,D6_early_stop_dry_run_reference,-103.78,,68.352672,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,K_liquidation_wick_bounce,-35.427328,0.0,cooldown_after_exit_validation,-91.46,0.9725,56.032672,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,K_liquidation_wick_bounce,-35.427328,0.0,anti_chase_validation,-225.26,0.9445,189.832672,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,K_liquidation_wick_bounce,-35.427328,0.0,regime_filtered_long_only_validation,-266.26,0.9318,230.832672,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,K_liquidation_wick_bounce,-35.427328,0.0,Candidate_D_later_data_failure,-174.23,0.1313,138.802672,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,L_breakout_failure_reversal,-33.70957,0.301839,failed_Long1_only_holdout,-69.89,0.9832,36.18043,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,L_breakout_failure_reversal,-33.70957,0.301839,D2_dry_run_reference,-51.92,,18.21043,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,L_breakout_failure_reversal,-33.70957,0.301839,D6_early_stop_dry_run_reference,-103.78,,70.07043,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,L_breakout_failure_reversal,-33.70957,0.301839,cooldown_after_exit_validation,-91.46,0.9725,57.75043,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,L_breakout_failure_reversal,-33.70957,0.301839,anti_chase_validation,-225.26,0.9445,191.55043,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,L_breakout_failure_reversal,-33.70957,0.301839,regime_filtered_long_only_validation,-266.26,0.9318,232.55043,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
later_fetched,L_breakout_failure_reversal,-33.70957,0.301839,Candidate_D_later_data_failure,-174.23,0.1313,140.52043,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
