candidate,candidate_net_pnl,candidate_profit_factor,candidate_BTCUSDT_net_pnl,candidate_BTCUSDT_profit_factor,reference,reference_net_pnl,reference_profit_factor,reference_BTCUSDT_net_pnl,reference_BTCUSDT_profit_factor,candidate_minus_reference_net_pnl,interpretation
D_mean_reversion_oversold_bounce,3853.3206954951756,1.760127441945461,253.84076938536865,2.3689022585477293,anti_chase_validation,-225.26,0.9445,-82.62,0.7259,4078.580695495176,must_beat_no_trade_not_merely_failed_references
D_mean_reversion_oversold_bounce,3853.3206954951756,1.760127441945461,253.84076938536865,2.3689022585477293,regime_filtered_long_only_validation,-266.26,0.9318,-30.08,0.9021,4119.580695495176,must_beat_no_trade_not_merely_failed_references
E_btc_relative_strength_alt,-822.1964390415072,0.9635633444708986,0.0,NA_no_trades,failed_Long1_only_holdout,-69.89,0.9832,-50.21,0.8475,-752.3064390415072,must_beat_no_trade_not_merely_failed_references
E_btc_relative_strength_alt,-822.1964390415072,0.9635633444708986,0.0,NA_no_trades,D2_dry_run_reference,-51.92,NA,NA,NA,-770.2764390415073,must_beat_no_trade_not_merely_failed_references
E_btc_relative_strength_alt,-822.1964390415072,0.9635633444708986,0.0,NA_no_trades,D6_early_stop_dry_run_reference,-103.78,NA,NA,NA,-718.4164390415073,must_beat_no_trade_not_merely_failed_references
E_btc_relative_strength_alt,-822.1964390415072,0.9635633444708986,0.0,NA_no_trades,cooldown_after_exit_validation,-91.46,0.9725,-73.14,0.7461,-730.7364390415072,must_beat_no_trade_not_merely_failed_references
E_btc_relative_strength_alt,-822.1964390415072,0.9635633444708986,0.0,NA_no_trades,anti_chase_validation,-225.26,0.9445,-82.62,0.7259,-596.9364390415072,must_beat_no_trade_not_merely_failed_references
E_btc_relative_strength_alt,-822.1964390415072,0.9635633444708986,0.0,NA_no_trades,regime_filtered_long_only_validation,-266.26,0.9318,-30.08,0.9021,-555.9364390415072,must_beat_no_trade_not_merely_failed_references
F_market_family_framework,-59.923860961391284,0.9849235031871626,-101.96367385501422,0.6972352113161302,failed_Long1_only_holdout,-69.89,0.9832,-50.21,0.8475,9.966139038608716,must_beat_no_trade_not_merely_failed_references
F_market_family_framework,-59.923860961391284,0.9849235031871626,-101.96367385501422,0.6972352113161302,D2_dry_run_reference,-51.92,NA,NA,NA,-8.003860961391283,must_beat_no_trade_not_merely_failed_references
F_market_family_framework,-59.923860961391284,0.9849235031871626,-101.96367385501422,0.6972352113161302,D6_early_stop_dry_run_reference,-103.78,NA,NA,NA,43.85613903860872,must_beat_no_trade_not_merely_failed_references
F_market_family_framework,-59.923860961391284,0.9849235031871626,-101.96367385501422,0.6972352113161302,cooldown_after_exit_validation,-91.46,0.9725,-73.14,0.7461,31.53613903860871,must_beat_no_trade_not_merely_failed_references
F_market_family_framework,-59.923860961391284,0.9849235031871626,-101.96367385501422,0.6972352113161302,anti_chase_validation,-225.26,0.9445,-82.62,0.7259,165.3361390386087,must_beat_no_trade_not_merely_failed_references
F_market_family_framework,-59.923860961391284,0.9849235031871626,-101.96367385501422,0.6972352113161302,regime_filtered_long_only_validation,-266.26,0.9318,-30.08,0.9021,206.3361390386087,must_beat_no_trade_not_merely_failed_references
G_defensive_short_hedge,-127.25986684591584,0.8715625179777207,-127.25986684591584,0.8715625179777207,failed_Long1_only_holdout,-69.89,0.9832,-50.21,0.8475,-57.36986684591584,must_beat_no_trade_not_merely_failed_references
G_defensive_short_hedge,-127.25986684591584,0.8715625179777207,-127.25986684591584,0.8715625179777207,D2_dry_run_reference,-51.92,NA,NA,NA,-75.33986684591584,must_beat_no_trade_not_merely_failed_references
G_defensive_short_hedge,-127.25986684591584,0.8715625179777207,-127.25986684591584,0.8715625179777207,D6_early_stop_dry_run_reference,-103.78,NA,NA,NA,-23.479866845915836,must_beat_no_trade_not_merely_failed_references
G_defensive_short_hedge,-127.25986684591584,0.8715625179777207,-127.25986684591584,0.8715625179777207,cooldown_after_exit_validation,-91.46,0.9725,-73.14,0.7461,-35.799866845915844,must_beat_no_trade_not_merely_failed_references
G_defensive_short_hedge,-127.25986684591584,0.8715625179777207,-127.25986684591584,0.8715625179777207,anti_chase_validation,-225.26,0.9445,-82.62,0.7259,98.00013315408415,must_beat_no_trade_not_merely_failed_references
G_defensive_short_hedge,-127.25986684591584,0.8715625179777207,-127.25986684591584,0.8715625179777207,regime_filtered_long_only_validation,-266.26,0.9318,-30.08,0.9021,139.00013315408415,must_beat_no_trade_not_merely_failed_references
