market,family,baseline_count,post_option_a_count,post_trend_fail_count,delta_baseline_to_option_a,delta_option_a_to_trend_fail,delta_baseline_to_trend_fail,largest_abs_delta_scope,notes
AAVEUSDT,Long1,43,94,92,51,-2,49,baseline_to_option_a,counts only; no profitability interpretation
DOGEUSDT,Total,38,98,101,60,3,63,baseline_to_trend_fail,counts only; no profitability interpretation
DOTUSDT,Long1,28,45,45,17,0,17,baseline_to_option_a,counts only; no profitability interpretation
DOTUSDT,Long2,0,8,10,8,2,10,baseline_to_trend_fail,counts only; no profitability interpretation
DOTUSDT,Short1,18,69,68,51,-1,50,baseline_to_option_a,counts only; no profitability interpretation
DOTUSDT,Short2,0,0,0,0,0,0,baseline_to_option_a,counts only; no profitability interpretation
DOTUSDT,Total,46,122,123,76,1,77,baseline_to_trend_fail,counts only; no profitability interpretation
ETCUSDT,Long1,29,56,55,27,-1,26,baseline_to_option_a,counts only; no profitability interpretation
ETCUSDT,Long2,0,19,19,19,0,19,baseline_to_option_a,counts only; no profitability interpretation
ETCUSDT,Short1,10,28,28,18,0,18,baseline_to_option_a,counts only; no profitability interpretation
ETCUSDT,Short2,0,0,0,0,0,0,baseline_to_option_a,counts only; no profitability interpretation
ETCUSDT,Total,39,103,102,64,-1,63,baseline_to_option_a,counts only; no profitability interpretation
ETHUSDT,Long1,84,156,156,72,0,72,baseline_to_option_a,counts only; no profitability interpretation
ETHUSDT,Long2,0,47,50,47,3,50,baseline_to_trend_fail,counts only; no profitability interpretation
ETHUSDT,Short1,1,3,3,2,0,2,baseline_to_option_a,counts only; no profitability interpretation
ETHUSDT,Short2,0,0,0,0,0,0,baseline_to_option_a,counts only; no profitability interpretation
ETHUSDT,Total,85,206,209,121,3,124,baseline_to_trend_fail,counts only; no profitability interpretation
FILUSDT,Long1,4,9,9,5,0,5,baseline_to_option_a,counts only; no profitability interpretation
FILUSDT,Long2,0,3,3,3,0,3,baseline_to_option_a,counts only; no profitability interpretation
FILUSDT,Short1,23,65,65,42,0,42,baseline_to_option_a,counts only; no profitability interpretation
FILUSDT,Short2,0,0,0,0,0,0,baseline_to_option_a,counts only; no profitability interpretation
FILUSDT,Total,27,77,77,50,0,50,baseline_to_option_a,counts only; no profitability interpretation
LINKUSDT,Long1,64,119,119,55,0,55,baseline_to_option_a,counts only; no profitability interpretation
LINKUSDT,Long2,0,35,36,35,1,36,baseline_to_trend_fail,counts only; no profitability interpretation
LINKUSDT,Short1,3,12,12,9,0,9,baseline_to_option_a,counts only; no profitability interpretation
LINKUSDT,Short2,0,0,0,0,0,0,baseline_to_option_a,counts only; no profitability interpretation
LINKUSDT,Total,67,166,167,99,1,100,baseline_to_trend_fail,counts only; no profitability interpretation
LTCUSDT,Long1,49,102,100,53,-2,51,baseline_to_option_a,counts only; no profitability interpretation
LTCUSDT,Long2,0,44,45,44,1,45,baseline_to_trend_fail,counts only; no profitability interpretation
LTCUSDT,Short1,12,25,25,13,0,13,baseline_to_option_a,counts only; no profitability interpretation
LTCUSDT,Short2,0,0,0,0,0,0,baseline_to_option_a,counts only; no profitability interpretation
LTCUSDT,Total,61,171,170,110,-1,109,baseline_to_option_a,counts only; no profitability interpretation
NEARUSDT,Long1,42,79,79,37,0,37,baseline_to_option_a,counts only; no profitability interpretation
NEARUSDT,Long2,0,23,24,23,1,24,baseline_to_trend_fail,counts only; no profitability interpretation
NEARUSDT,Short1,11,34,34,23,0,23,baseline_to_option_a,counts only; no profitability interpretation
NEARUSDT,Short2,0,0,0,0,0,0,baseline_to_option_a,counts only; no profitability interpretation
NEARUSDT,Total,53,136,137,83,1,84,baseline_to_trend_fail,counts only; no profitability interpretation
SOLUSDT,Long1,52,111,109,59,-2,57,baseline_to_option_a,counts only; no profitability interpretation
SOLUSDT,Long2,0,39,39,39,0,39,baseline_to_option_a,counts only; no profitability interpretation
SOLUSDT,Short1,6,14,14,8,0,8,baseline_to_option_a,counts only; no profitability interpretation
SOLUSDT,Short2,0,0,0,0,0,0,baseline_to_option_a,counts only; no profitability interpretation
SOLUSDT,Total,58,164,162,106,-2,104,baseline_to_option_a,counts only; no profitability interpretation
TRXUSDT,Long1,84,176,180,92,4,96,baseline_to_trend_fail,counts only; no profitability interpretation
TRXUSDT,Long2,0,47,49,47,2,49,baseline_to_trend_fail,counts only; no profitability interpretation
TRXUSDT,Short1,3,7,7,4,0,4,baseline_to_option_a,counts only; no profitability interpretation
TRXUSDT,Short2,0,0,0,0,0,0,baseline_to_option_a,counts only; no profitability interpretation
TRXUSDT,Total,87,230,236,143,6,149,baseline_to_trend_fail,counts only; no profitability interpretation
UNIUSDT,Long1,16,25,26,9,1,10,baseline_to_trend_fail,counts only; no profitability interpretation
UNIUSDT,Long2,0,7,8,7,1,8,baseline_to_trend_fail,counts only; no profitability interpretation
UNIUSDT,Short1,16,47,47,31,0,31,baseline_to_option_a,counts only; no profitability interpretation
UNIUSDT,Short2,0,0,0,0,0,0,baseline_to_option_a,counts only; no profitability interpretation
UNIUSDT,Total,32,79,81,47,2,49,baseline_to_trend_fail,counts only; no profitability interpretation
XRPUSDT,Long1,37,57,60,20,3,23,baseline_to_trend_fail,counts only; no profitability interpretation
XRPUSDT,Long2,0,11,15,11,4,15,baseline_to_trend_fail,counts only; no profitability interpretation
XRPUSDT,Short1,13,37,37,24,0,24,baseline_to_option_a,counts only; no profitability interpretation
XRPUSDT,Short2,0,0,0,0,0,0,baseline_to_option_a,counts only; no profitability interpretation
XRPUSDT,Total,50,105,112,55,7,62,baseline_to_trend_fail,counts only; no profitability interpretation
AGGREGATE,Long1,872,1668,1678,796,10,806,baseline_to_trend_fail,counts only; no profitability interpretation
AGGREGATE,Long2,0,501,528,501,27,528,baseline_to_trend_fail,counts only; no profitability interpretation
AGGREGATE,Short1,184,527,524,343,-3,340,baseline_to_option_a,counts only; no profitability interpretation
AGGREGATE,Short2,0,0,0,0,0,0,baseline_to_option_a,counts only; no profitability interpretation
AGGREGATE,Total,1056,2696,2730,1640,34,1674,baseline_to_trend_fail,counts only; no profitability interpretation
