state,market,family,count,avg_duration_bars,median_duration_bars,min_duration_bars,max_duration_bars,fast_exit_proxy_count,medium_hold_proxy_count,long_hold_proxy_count,exit_reason_available,proxy_bucket_definition,source,notes
A_original_pre_unit_fix_baseline,ADAUSDT,Short1,13,86.3076923076923,62.0,5.0,278.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,ADAUSDT,Short1,33,8.121212121212121,6.0,2.0,29.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,ATOMUSDT,Long1,23,17.304347826086957,11.0,1.0,81.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,ATOMUSDT,Long1,48,6.3125,4.0,1.0,23.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,ATOMUSDT,Short1,18,138.83333333333334,75.0,4.0,620.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,ATOMUSDT,Short1,61,8.39344262295082,6.0,1.0,27.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,AVAXUSDT,Long1,27,13.296296296296296,9.0,2.0,81.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,AVAXUSDT,Long1,47,6.340425531914893,5.0,1.0,25.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,AVAXUSDT,Short1,7,187.0,146.0,11.0,399.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,AVAXUSDT,Short1,15,7.466666666666667,6.0,3.0,21.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,BCHUSDT,Long1,54,12.444444444444445,10.0,1.0,39.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,BCHUSDT,Long1,94,6.446808510638298,5.0,1.0,25.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,BCHUSDT,Short1,8,71.125,78.0,16.0,151.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,BCHUSDT,Short1,19,11.052631578947368,11.0,3.0,21.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,BNBUSDT,Long1,80,18.2125,11.5,1.0,133.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,BNBUSDT,Long1,159,8.062893081761006,6.0,1.0,32.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,BNBUSDT,Short1,0,,,,,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,BNBUSDT,Short1,0,,,,,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,BTCUSDT,Long1,90,16.4,10.0,1.0,71.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,BTCUSDT,Long1,169,7.615384615384615,5.0,1.0,49.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,BTCUSDT,Short1,1,99.0,99.0,99.0,99.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,BTCUSDT,Short1,1,16.0,16.0,16.0,16.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,DOGEUSDT,Long1,27,17.185185185185187,9.0,1.0,107.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,DOGEUSDT,Long1,51,8.07843137254902,6.0,1.0,27.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,DOGEUSDT,Short1,11,108.36363636363636,62.0,6.0,322.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,DOGEUSDT,Short1,35,9.628571428571428,8.0,2.0,27.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,DOTUSDT,Long1,28,13.071428571428571,8.5,1.0,44.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,DOTUSDT,Long1,45,7.844444444444444,6.0,1.0,21.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,DOTUSDT,Short1,18,161.55555555555554,150.0,8.0,488.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,DOTUSDT,Short1,69,8.971014492753623,8.0,1.0,32.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,ETCUSDT,Long1,29,18.379310344827587,13.0,1.0,91.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,ETCUSDT,Long1,56,7.303571428571429,6.0,1.0,23.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,ETCUSDT,Short1,10,109.1,64.0,9.0,304.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,ETCUSDT,Short1,28,7.214285714285714,6.0,2.0,20.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,ETHUSDT,Long1,84,17.845238095238095,8.0,1.0,104.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,ETHUSDT,Long1,156,8.294871794871796,6.0,1.0,48.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,ETHUSDT,Short1,1,93.0,93.0,93.0,93.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,ETHUSDT,Short1,3,14.0,15.0,6.0,21.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,FILUSDT,Long1,4,35.75,24.5,18.0,76.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,FILUSDT,Long1,9,8.777777777777779,8.0,4.0,19.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,FILUSDT,Short1,23,110.7391304347826,82.0,8.0,480.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,FILUSDT,Short1,65,8.23076923076923,7.0,1.0,26.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,LINKUSDT,Long1,64,14.6875,11.0,1.0,78.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,LINKUSDT,Long1,119,6.689075630252101,5.0,1.0,37.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,LINKUSDT,Short1,3,163.0,158.0,105.0,226.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,LINKUSDT,Short1,12,7.083333333333333,7.0,2.0,13.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,LTCUSDT,Long1,49,15.16326530612245,12.0,1.0,42.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,LTCUSDT,Long1,102,6.745098039215686,6.0,1.0,22.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,LTCUSDT,Short1,12,85.5,68.0,4.0,282.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,LTCUSDT,Short1,25,7.52,7.0,2.0,18.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,NEARUSDT,Long1,42,15.88095238095238,13.5,1.0,46.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,NEARUSDT,Long1,79,6.822784810126582,6.0,1.0,24.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,NEARUSDT,Short1,11,141.0,103.0,11.0,375.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,NEARUSDT,Short1,34,8.029411764705882,7.5,1.0,21.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,SOLUSDT,Long1,52,14.788461538461538,12.0,1.0,70.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,SOLUSDT,Long1,111,7.342342342342342,5.0,1.0,28.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,SOLUSDT,Short1,6,90.83333333333331,85.5,12.0,182.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,SOLUSDT,Short1,14,6.785714285714286,6.5,2.0,13.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,TRXUSDT,Long1,84,17.25,10.0,1.0,88.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,TRXUSDT,Long1,176,7.045454545454546,5.0,1.0,43.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,TRXUSDT,Short1,3,59.333333333333336,36.0,17.0,125.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,TRXUSDT,Short1,7,10.142857142857142,11.0,5.0,14.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,UNIUSDT,Long1,16,9.6875,5.5,2.0,27.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,UNIUSDT,Long1,25,6.12,5.0,1.0,20.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,UNIUSDT,Short1,16,107.5625,90.5,8.0,314.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,UNIUSDT,Short1,47,8.914893617021276,7.0,1.0,40.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,XRPUSDT,Long1,37,11.432432432432432,6.0,1.0,71.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,XRPUSDT,Long1,57,6.859649122807017,6.0,1.0,42.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,XRPUSDT,Short1,13,86.76923076923077,50.0,8.0,331.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,XRPUSDT,Short1,37,11.0,8.0,1.0,29.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
C_post_trend_fail_patch_current_source,AGGREGATE,Long1,1678,8.291418355184744,6.0,1.0,49.0,1060,566,52,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
C_post_trend_fail_patch_current_source,AGGREGATE,Long2,528,7.0018939393939394,5.0,1.0,48.0,381,130,17,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
C_post_trend_fail_patch_current_source,AGGREGATE,Short1,524,8.507633587786259,7.0,1.0,40.0,311,205,8,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
C_post_trend_fail_patch_current_source,AGGREGATE,Short2,0,,,,,0,0,0,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
C_post_trend_fail_patch_current_source,AAVEUSDT,Long1,92,7.760869565217392,6.0,1.0,49.0,58,32,2,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
C_post_trend_fail_patch_current_source,AAVEUSDT,Long2,30,7.2,5.0,1.0,47.0,23,6,1,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
C_post_trend_fail_patch_current_source,AAVEUSDT,Short1,22,8.681818181818182,8.0,3.0,18.0,12,10,0,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
C_post_trend_fail_patch_current_source,AAVEUSDT,Short2,0,,,,,0,0,0,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
C_post_trend_fail_patch_current_source,ADAUSDT,Long1,70,8.82857142857143,7.5,1.0,34.0,41,28,1,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
C_post_trend_fail_patch_current_source,ADAUSDT,Long2,18,6.722222222222222,5.0,1.0,29.0,14,3,1,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
C_post_trend_fail_patch_current_source,ADAUSDT,Short1,32,7.5625,6.0,2.0,29.0,23,8,1,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
C_post_trend_fail_patch_current_source,ADAUSDT,Short2,0,,,,,0,0,0,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
C_post_trend_fail_patch_current_source,ATOMUSDT,Long1,49,7.1020408163265305,6.0,1.0,23.0,31,18,0,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
C_post_trend_fail_patch_current_source,ATOMUSDT,Long2,20,4.75,2.5,1.0,22.0,17,3,0,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
C_post_trend_fail_patch_current_source,ATOMUSDT,Short1,61,8.327868852459016,6.0,1.0,27.0,37,23,1,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
C_post_trend_fail_patch_current_source,ATOMUSDT,Short2,0,,,,,0,0,0,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
C_post_trend_fail_patch_current_source,AVAXUSDT,Long1,49,8.489795918367347,5.0,2.0,40.0,34,13,2,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
C_post_trend_fail_patch_current_source,AVAXUSDT,Long2,20,6.7,4.5,1.0,24.0,14,6,0,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
C_post_trend_fail_patch_current_source,AVAXUSDT,Short1,15,7.466666666666667,6.0,3.0,21.0,10,5,0,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
C_post_trend_fail_patch_current_source,AVAXUSDT,Short2,0,,,,,0,0,0,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
C_post_trend_fail_patch_current_source,BCHUSDT,Long1,97,7.927835051546392,7.0,1.0,29.0,63,32,2,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
C_post_trend_fail_patch_current_source,BCHUSDT,Long2,27,5.185185185185185,4.0,1.0,18.0,22,5,0,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
C_post_trend_fail_patch_current_source,BCHUSDT,Short1,19,11.052631578947368,11.0,3.0,21.0,7,12,0,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
C_post_trend_fail_patch_current_source,BCHUSDT,Short2,0,,,,,0,0,0,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
C_post_trend_fail_patch_current_source,BNBUSDT,Long1,158,9.265822784810126,7.0,1.0,32.0,90,60,8,False,fast<=8 bars; medium=9-24 bars; long>24 bars; descriptive proxy only,current source instrumented FractionalBacktest validation run,"exit reason unavailable; duration proxy only, no final exit labels"
