scope,trade_tag,exit_mechanism_label,count,share_of_tag,avg_duration_bars,median_duration_bars,fast_exit_count_le_8_bars,medium_hold_count_9_to_24_bars,long_hold_count_gt_24_bars,tp1_occurred_count,tp2_occurred_count,trailing_stop_proxy_count,stop_hit_proxy_count,trend_fail_count,add_on_interaction_count,exact_close_event_count,proxy_or_unmatched_count,notes
FILUSDT,Long1,stop_hit_proxy:long_breakeven_floor_stop,2,0.2222222222222222,10.5,10.5,1,1,0,2,0,0,2,0,1,0,2,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
LINKUSDT,Long1,long_tp1_partial_close,39,0.3277310924369748,5.230769230769231,4.0,33,6,0,39,2,12,0,0,22,39,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
LINKUSDT,Long1,stop_hit_proxy:long_trailing_stop,34,0.2857142857142857,11.882352941176471,10.0,11,21,2,18,6,34,34,0,18,0,34,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
LINKUSDT,Long1,stop_hit_proxy:long_base_stop,22,0.18487394957983194,4.7272727272727275,3.5,19,3,0,0,0,0,22,0,1,0,22,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
LINKUSDT,Long1,stop_hit_proxy:long_breakeven_floor_stop,16,0.13445378151260504,10.0625,9.0,8,7,1,16,0,0,16,0,10,0,16,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
LINKUSDT,Long1,long_trend_fail_close,8,0.06722689075630252,3.875,2.0,6,2,0,0,0,1,0,8,0,8,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
LTCUSDT,Long1,long_tp1_partial_close,38,0.38,4.552631578947368,4.0,35,3,0,38,0,6,0,0,26,38,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
LTCUSDT,Long1,stop_hit_proxy:long_trailing_stop,29,0.29,12.482758620689655,12.0,9,19,1,20,8,29,29,0,21,0,29,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
LTCUSDT,Long1,stop_hit_proxy:long_breakeven_floor_stop,17,0.17,9.235294117647058,9.0,8,9,0,17,0,0,17,0,12,0,17,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
LTCUSDT,Long1,stop_hit_proxy:long_base_stop,14,0.14,5.357142857142857,3.5,12,2,0,0,0,0,14,0,1,0,14,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
LTCUSDT,Long1,long_trend_fail_close,2,0.02,6.0,6.0,1,1,0,0,0,1,0,2,0,2,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
NEARUSDT,Long1,long_tp1_partial_close,26,0.3291139240506329,5.884615384615385,6.0,23,3,0,26,0,5,0,0,16,26,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
NEARUSDT,Long1,stop_hit_proxy:long_trailing_stop,23,0.2911392405063291,9.608695652173912,10.0,9,14,0,8,2,23,23,0,10,0,23,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
NEARUSDT,Long1,stop_hit_proxy:long_breakeven_floor_stop,15,0.189873417721519,9.933333333333334,8.0,8,7,0,15,0,0,15,0,12,0,15,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
NEARUSDT,Long1,stop_hit_proxy:long_base_stop,12,0.1518987341772152,3.6666666666666665,4.0,12,0,0,0,0,0,12,0,0,0,12,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
NEARUSDT,Long1,long_trend_fail_close,3,0.0379746835443038,2.6666666666666665,3.0,3,0,0,0,0,0,0,3,0,3,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
SOLUSDT,Long1,long_tp1_partial_close,36,0.3302752293577982,5.055555555555555,4.5,30,6,0,36,0,5,0,0,26,36,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
SOLUSDT,Long1,stop_hit_proxy:long_trailing_stop,32,0.29357798165137616,13.4375,11.5,6,22,4,19,8,32,32,0,21,0,32,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
SOLUSDT,Long1,stop_hit_proxy:long_base_stop,21,0.1926605504587156,3.4761904761904763,3.0,21,0,0,0,0,0,21,0,1,0,21,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
SOLUSDT,Long1,stop_hit_proxy:long_breakeven_floor_stop,16,0.14678899082568808,9.5625,9.0,7,9,0,16,0,0,16,0,12,0,16,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
SOLUSDT,Long1,long_trend_fail_close,4,0.03669724770642202,3.25,1.0,3,1,0,0,0,0,0,4,0,4,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
TRXUSDT,Long1,long_tp1_partial_close,60,0.3333333333333333,5.9,5.0,48,12,0,60,3,14,0,0,29,60,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
TRXUSDT,Long1,stop_hit_proxy:long_trailing_stop,59,0.3277777777777778,12.067796610169491,9.0,27,26,6,28,15,59,59,0,28,0,59,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
TRXUSDT,Long1,stop_hit_proxy:long_base_stop,33,0.18333333333333332,3.909090909090909,3.0,31,2,0,0,0,0,33,0,1,0,33,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
TRXUSDT,Long1,stop_hit_proxy:long_breakeven_floor_stop,24,0.13333333333333333,9.0,8.5,12,12,0,24,0,0,24,0,15,0,24,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
TRXUSDT,Long1,long_trend_fail_close,4,0.022222222222222223,1.75,2.0,4,0,0,0,0,0,0,4,0,4,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
UNIUSDT,Long1,long_tp1_partial_close,7,0.2692307692307692,8.285714285714286,8.0,4,3,0,7,0,3,0,0,5,7,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
UNIUSDT,Long1,stop_hit_proxy:long_base_stop,7,0.2692307692307692,3.857142857142857,3.0,6,1,0,0,0,0,7,0,0,0,7,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
UNIUSDT,Long1,stop_hit_proxy:long_trailing_stop,7,0.2692307692307692,8.857142857142858,8.0,4,3,0,1,0,7,7,0,3,0,7,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
UNIUSDT,Long1,stop_hit_proxy:long_breakeven_floor_stop,5,0.19230769230769232,11.2,10.0,1,4,0,5,0,0,5,0,5,0,5,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
XRPUSDT,Long1,stop_hit_proxy:long_trailing_stop,18,0.3,11.61111111111111,9.0,7,9,2,8,6,18,18,0,9,0,18,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
XRPUSDT,Long1,long_tp1_partial_close,15,0.25,6.866666666666666,6.0,12,3,0,15,1,2,0,0,7,15,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
XRPUSDT,Long1,stop_hit_proxy:long_base_stop,14,0.23333333333333334,5.357142857142857,5.0,11,3,0,0,0,0,14,0,0,0,14,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
XRPUSDT,Long1,stop_hit_proxy:long_breakeven_floor_stop,7,0.11666666666666667,10.142857142857142,9.0,3,4,0,7,0,0,7,0,5,0,7,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
XRPUSDT,Long1,long_trend_fail_close,6,0.1,4.833333333333333,5.0,6,0,0,0,0,1,0,6,0,6,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
