comparison,population_scope,field,combined_with,expected_direction,followthrough_count,adverse_count,followthrough_avg,followthrough_median,adverse_avg,adverse_median,avg_delta_follow_minus_adverse,median_delta_follow_minus_adverse,supporting_market_count,contradicting_market_count,testable_market_count,contradicting_markets
field_alone,executed_short1,entry_minus_di,,higher_in_followthrough,61.0,94.0,24.146634321207905,23.920617123661984,23.904285008563797,23.635413539701574,0.24234931264410875,0.2852035839604099,7,4,11,"UNIUSDT,ADAUSDT,LTCUSDT,AAVEUSDT"
field_alone,starter_short_signal,entry_minus_di,,higher_in_followthrough,176.0,298.0,24.280604607212272,23.89151864401152,23.248423557210725,23.14500318085589,1.0321810500015474,0.7465154631556281,8,3,11,"FILUSDT,UNIUSDT,AAVEUSDT"
field_alone,executed_short1,entry_di_spread,,lower_in_followthrough,61.0,94.0,-7.411690783127673,-7.171451206863612,-6.959802319763572,-6.324732289417676,-0.45188846336410116,-0.8467189174459362,7,4,11,"UNIUSDT,ADAUSDT,LTCUSDT,AAVEUSDT"
field_alone,starter_short_signal,entry_di_spread,,lower_in_followthrough,176.0,298.0,-8.054076284587635,-7.74878040855961,-6.493657339464736,-5.781768402938357,-1.5604189451228994,-1.9670120056212532,8,3,11,"UNIUSDT,ADAUSDT,AAVEUSDT"
field_alone,executed_short1,entry_short_resumption_strong,,higher_in_followthrough,61.0,94.0,0.5081967213114754,1.0,0.3829787234042553,0.0,0.1252179979072201,1.0,7,4,11,"FILUSDT,XRPUSDT,LTCUSDT,AAVEUSDT"
field_alone,starter_short_signal,entry_short_resumption_strong,,higher_in_followthrough,176.0,298.0,0.4659090909090909,0.0,0.35906040268456374,0.0,0.10684868822452714,0.0,8,3,11,"FILUSDT,ATOMUSDT,XRPUSDT"
field_alone,executed_short1,entry_exec_bear_structure,,higher_in_followthrough,61.0,94.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,11,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT"
field_alone,starter_short_signal,entry_exec_bear_structure,,higher_in_followthrough,176.0,298.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,11,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT"
field_alone,executed_short1,entry_exec_slope_down,,higher_in_followthrough,61.0,94.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,11,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT"
field_alone,starter_short_signal,entry_exec_slope_down,,higher_in_followthrough,176.0,298.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,11,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT"
field_alone,executed_short1,entry_exec_adx_pass,,higher_in_followthrough,61.0,94.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,11,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT"
field_alone,starter_short_signal,entry_exec_adx_pass,,higher_in_followthrough,176.0,298.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,11,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT"
field_alone,executed_short1,entry_exec_atr_pass,,higher_in_followthrough,61.0,94.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,11,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT"
field_alone,starter_short_signal,entry_exec_atr_pass,,higher_in_followthrough,176.0,298.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,11,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT"
field_alone,executed_short1,entry_exec_distance_pass,,higher_in_followthrough,61.0,94.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,11,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT"
field_alone,starter_short_signal,entry_exec_distance_pass,,higher_in_followthrough,176.0,298.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,11,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT"
field_alone,executed_short1,entry_short_distance_cap_pass,,higher_in_followthrough,61.0,94.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,11,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT"
field_alone,starter_short_signal,entry_short_distance_cap_pass,,higher_in_followthrough,176.0,298.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,11,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT"
field_alone,executed_short1,entry_short_ema20_proximity_pass,,higher_in_followthrough,61.0,94.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,11,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT"
field_alone,starter_short_signal,entry_short_ema20_proximity_pass,,higher_in_followthrough,176.0,298.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,11,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT"
field_alone,executed_short1,entry_exec_bear_momentum,,higher_in_followthrough,61.0,94.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,11,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT"
field_alone,starter_short_signal,entry_exec_bear_momentum,,higher_in_followthrough,176.0,298.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,11,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT"
field_alone,executed_short1,entry_short_squeeze_risk,,higher_in_followthrough,61.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,11,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT"
field_alone,starter_short_signal,entry_short_squeeze_risk,,higher_in_followthrough,176.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,11,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT"
field_alone,executed_short1,entry_short_squeeze_pass,,higher_in_followthrough,61.0,94.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,11,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT"
field_alone,starter_short_signal,entry_short_squeeze_pass,,higher_in_followthrough,176.0,298.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,11,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT"
field_alone,executed_short1,entry_short_pullback,,higher_in_followthrough,61.0,94.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,11,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT"
field_alone,starter_short_signal,entry_short_pullback,,higher_in_followthrough,176.0,298.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,11,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT"
field_alone,executed_short1,entry_short_resumption,,higher_in_followthrough,61.0,94.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,11,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT"
field_alone,starter_short_signal,entry_short_resumption,,higher_in_followthrough,176.0,298.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,11,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT"
core_plus_secondary_directional_alignment,executed_short1,entry_short_ema20_gap_atr,entry_exec_distance_atr,higher_in_followthrough + lower_in_followthrough,,,,,,,,,9,2,11,"DOTUSDT:core_only,LTCUSDT:secondary_only"
core_plus_secondary_directional_alignment,starter_short_signal,entry_short_ema20_gap_atr,entry_exec_distance_atr,higher_in_followthrough + lower_in_followthrough,,,,,,,,,6,5,11,"ADAUSDT:core_only,XRPUSDT:core_only,LTCUSDT:core_only,NEARUSDT:both_contradict,ETCUSDT:core_only"
core_plus_secondary_directional_alignment,executed_short1,entry_short_ema20_gap_atr,entry_adx,higher_in_followthrough + lower_in_followthrough,,,,,,,,,10,1,11,LTCUSDT:secondary_only
core_plus_secondary_directional_alignment,starter_short_signal,entry_short_ema20_gap_atr,entry_adx,higher_in_followthrough + lower_in_followthrough,,,,,,,,,8,3,11,"DOTUSDT:core_only,ATOMUSDT:core_only,NEARUSDT:both_contradict"
core_plus_secondary_directional_alignment,executed_short1,entry_short_ema20_gap_atr,entry_di_spread,higher_in_followthrough + lower_in_followthrough,,,,,,,,,7,4,11,"UNIUSDT:core_only,ADAUSDT:core_only,LTCUSDT:both_contradict,AAVEUSDT:core_only"
core_plus_secondary_directional_alignment,starter_short_signal,entry_short_ema20_gap_atr,entry_di_spread,higher_in_followthrough + lower_in_followthrough,,,,,,,,,7,4,11,"UNIUSDT:core_only,ADAUSDT:core_only,NEARUSDT:secondary_only,AAVEUSDT:core_only"
